StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
40, 4.20154, 4.18875, 4.19384, 4.19384, 4.18549, 4.18549, 4.18291, 4.19989, 4.21063, 4.21377, 3.35998, 3.34948, 3.33636, 3.31533, 3.30746, 3.29698, 3.24355, 3.25132, 3.23323, 3.20758, 2.14833, 2.14576, 2.13238, 4.18973, 2.69841, 1.65354, 1.65354, 1.59036, 1.58369, 1.55638, 1.05989, 0, 
41, 4.22573, 4.23701, 4.24252, 4.2293, 4.23203, 4.25102, 4.26447, 4.26446, 4.27769, 4.26479, 4.23405, 3.30722, 3.28361, 3.27838, 3.26532, 3.27053, 3.22639, 3.21863, 3.19298, 3.25768, 3.19925, 3.19925, 2.92885, 2.12185, 2.08927, 1.98902, 1.59426, 1.56206, 1.54557, 1.48036, 1.25219, 2.07492, 
42, 4.19906, 4.20386, 4.19926, 4.19662, 4.21323, 4.20548, 4.21418, 4.20647, 4.20129, 4.1995, 4.19522, 4.20854, 3.30983, 3.26532, 3.27053, 3.24189, 3.19043, 3.2212, 3.21359, 3.16758, 3.16759, 3.16537, 3.16702, 3.00712, 2.78774, 2.02566, 1.95959, 1.58471, 1.57597, 1.21987, 0.789548, 16.2932, 
43, 4.2337, 4.23676, 4.20248, 4.20521, 4.21066, 4.20032, 4.20052, 4.20192, 3.38363, 4.1998, 3.3679, 3.38363, 3.34685, 3.32582, 3.3311, 3.31533, 3.2813, 3.41785, 3.24347, 3.24865, 2.12543, 4.1967, 2.53788, 2.19781, 2.06938, 2.11107, 1.61643, 1.57607, 1.50842, 1.12661, 1.08633, 2.09256, 
44, 4.26992, 4.25874, 4.25597, 4.24008, 4.2425, 4.24012, 4.24032, 4.24015, 4.2464, 4.24382, 4.24935, 4.2545, 3.31271, 3.31008, 3.29175, 3.26824, 3.23448, 3.24225, 2.19611, 2.19351, 2.18833, 2.16514, 2.15115, 2.26652, 2.16385, 1.75993, 1.89617, 1.59502, 1.61323, 1.44702, 1.23874, 0, 
45, 1.23874, 4.2076, 4.22412, 4.20493, 4.22435, 4.24323, 4.22783, 4.22621, 4.2389, 3.4229, 4.21377, 3.40197, 3.37738, 3.36433, 3.36717, 3.31654, 3.32697, 3.25782, 3.37483, 3.52327, 4.18303, 1.60251, 1.60251, 2.17039, 2.13217, 2.13217, 1.59476, 1.58427, 1.47281, 1.51226, 1.08332, 2.09492, 
46, 4.17223, 4.17225, 4.18728, 4.19579, 4.1872, 4.21582, 4.21284, 4.20547, 4.1875, 4.2149, 4.21777, 4.21811, 4.21034, 3.36322, 3.34219, 3.36847, 3.33168, 3.27138, 3.27665, 3.41426, 5.41838, 2.1524, 3.10577, 2.40438, 2.20655, 2.11306, 2.11306, 1.61425, 1.59281, 1.063, 1.17575, 0, 
47, 4.25331, 4.25056, 4.23705, 4.24257, 4.2509, 4.25633, 4.24354, 4.24058, 4.24353, 4.23861, 4.24168, 3.33109, 3.33109, 3.29436, 3.26824, 3.26302, 3.24743, 3.23448, 3.20617, 3.19675, 2.16135, 5.09784, 2.44777, 2.43898, 2.09464, 2.09464, 1.58456, 1.57438, 1.3836, 1.05885, 1.39027, 2.0551, 
48, 4.24503, 4.23968, 4.25889, 4.25892, 4.25893, 4.28287, 4.26697, 4.28286, 4.27511, 4.2366, 4.23659, 4.23657, 4.22389, 3.34424, 3.33108, 3.32322, 3.3232, 3.28916, 3.30225, 3.24743, 4.16945, 2.17453, 2.40382, 2.49633, 2.12143, 2.15434, 1.59797, 1.61045, 1.63471, 1.39068, 1.22941, 0, 
49, 4.31919, 4.32671, 4.32414, 4.99563, 5.02208, 5.02547, 5.03577, 5.04972, 5.07114, 5.10825, 5.09692, 3.27798, 3.23642, 3.23642, 3.21324, 3.1979, 3.17757, 2.18536, 2.14111, 2.12832, 2.64538, 3.09016, 3.99393, 2.12675, 2.06816, 2.11694, 2.11694, 1.5763, 1.44941, 1.4881, 1.26075, 2.05901, 
50, 2.05901, 2.05901, 4.28571, 4.29089, 4.28564, 4.30118, 4.30636, 4.30636, 4.29063, 4.25963, 4.24428, 3.33899, 4.24423, 4.24423, 3.31533, 3.31533, 3.31533, 3.20359, 3.23966, 3.39023, 2.129, 2.15958, 2.38773, 2.2933, 2.11374, 1.94846, 1.94846, 1.58713, 1.54278, 1.46985, 1.08518, 1.92371, 
51, 4.25904, 4.25926, 4.25932, 4.26194, 4.26725, 4.26991, 4.2674, 4.2674, 4.22898, 4.22135, 3.32846, 3.34421, 3.30484, 3.32323, 3.27606, 3.28129, 3.24225, 3.19361, 2.17028, 2.1802, 2.14211, 2.12439, 2.98541, 2.75866, 2.11882, 2.11996, 1.57829, 1.82926, 1.5992, 1.33252, 1.33252, 2.03556, 
52, 4.32212, 4.32725, 4.31926, 4.31926, 4.30882, 4.30885, 4.30102, 4.29323, 4.26736, 4.25964, 4.25962, 4.21879, 3.33371, 3.33372, 3.33372, 3.32583, 3.27348, 3.26824, 3.24992, 2.17426, 2.15109, 2.13184, 2.15307, 2.15107, 2.08926, 2.12135, 1.78374, 1.58167, 1.47699, 1.44086, 1.27371, 0, 
