StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
2.39639,0.879418,1.526,1.30713,1.74214,2.40666,2.54332,3.12334,3.30486,3.73361,3.68354,3.98297,4.78307,5.10229,4.65267,5.36935,5.49036,6.0902,6.96336,6.80584,6.53148,7.2565,7.78853,7.23981,7.75619,8.41236,8.34977,8.80252,8.63665,9.68507,9.84676,10.1023,
2.96892,0.747974,1.19655,1.16734,1.75852,2.84898,2.1976,3.19949,4.13316,4.11438,4.58173,4.82063,4.46594,4.79976,5.67501,5.69483,7.0489,6.69004,7.19495,7.15635,7.92415,7.98465,8.26736,8.98717,9.22293,9.33351,9.89162,10.6521,10.2933,10.6406,10.6813,11.3479,
2.3587,1.31432,1.31443,1.0745,2.2095,2.11352,2.70815,2.71962,3.40083,3.54166,3.79412,4.69857,4.54105,4.31259,4.62868,5.2233,5.09395,6.26546,6.17887,5.47784,6.55651,7.23355,7.54651,7.95231,7.58511,8.23711,8.14322,8.76705,9.02264,9.04141,9.48164,9.96778,
2.73801,-0.427296,0.907584,1.34954,2.32112,1.76475,2.64868,2.66433,2.87715,3.45195,4.07578,4.81124,4.89887,4.73613,6.06308,5.89408,6.37917,7.09898,6.62536,7.36499,7.60493,8.29135,8.12861,8.88493,9.01846,9.53798,9.64125,9.91562,10.914,10.8232,11.2885,11.5555,
2.13419,1.26749,0.926362,1.17256,1.5575,2.06971,2.37224,2.99294,2.34616,2.51411,2.9679,3.94643,4.68292,4.90513,5.62598,5.54148,5.67292,5.70004,6.32388,6.11107,6.61806,7.61014,7.53503,7.90224,8.23293,8.29553,8.93084,9.13948,8.97361,9.16868,9.93544,9.90414,
2.60855,0.508458,1.78804,1.35929,1.87359,2.57879,2.86045,2.60174,4.08413,3.21514,4.46594,4.1269,4.52957,5.43507,5.94207,5.99318,5.73864,6.85278,6.90181,8.01282,7.74993,7.75098,8.80774,8.71281,8.6523,10.0898,9.7028,10.4184,10.1336,11.2624,11.9133,11.5983,
0,0.849107,0.849107,1.70459,2.06971,2.5934,1.87985,3.17237,3.31738,3.68458,3.67102,3.92381,4.17812,4.74656,5.17114,4.73613,5.72925,5.90451,6.39169,6.49079,6.37604,6.89555,6.8966,7.48809,7.81044,7.96588,8.39567,9.00908,8.58971,9.13843,9.46182,9.949,
2.43901,1.03277,1.15378,2.35659,2.26583,2.09057,2.5767,3.0378,2.85732,4.04657,3.8588,4.23018,4.36579,5.54878,5.34431,6.10481,6.20287,6.77037,6.72655,6.77767,7.63205,8.18495,7.75515,9.15095,9.38567,10.3183,9.84781,10.2223,10.5864,11.0245,11.0131,11.2394,
2.12049,0.919353,1.0505,1.67538,1.75466,2.32529,2.63304,3.23601,2.65807,3.06805,3.19115,3.77325,4.23539,4.60781,4.88113,5.38291,5.44342,5.67814,6.15864,5.75951,6.96858,6.76411,6.86947,7.5319,8.01073,7.9158,8.37898,8.47391,8.88285,9.25527,9.88015,9.61726,
2.70484,0.451208,0.451208,1.13156,2.54958,2.32947,2.79995,2.63512,4.00172,3.74717,3.85358,3.80872,4.65789,5.42777,5.91077,6.04326,6.48036,7.19286,7.09898,7.24607,7.79583,8.16408,8.34873,9.12591,9.57658,9.7727,9.44618,10.143,10.7408,10.6375,11.422,11.5712,
